0,0,1.30
1,0,1.30
2,0,1.30
3,0,1.30
4,0,1.30
5,0,1.30
6,0,1.30
6,1,1.30
5,1,1.30
4,1,1.30
3,1,1.30
2,1,1.30
1,1,1.30
0,1,1.30
0,2,1.30
1,2,1.30
2,2,1.30
3,2,1.30
4,2,1.30
5,2,1.30
6,2,1.30
6,3,1.30
5,3,1.30
4,3,1.30
3,3,1.30
2,3,1.30
1,3,1.30
0,3,1.30
0,4,1.30
1,4,1.30
2,4,1.30
3,4,1.30
4,4,1.30
5,4,1.30
6,4,1.30
0,0,1.80
1,0,1.80
2,0,1.80
3,0,1.80
4,0,1.80
5,0,1.80
6,0,1.80
6,1,1.80
5,1,1.80
4,1,1.80
3,1,1.80
2,1,1.80
1,1,1.80
0,1,1.80
0,2,1.80
1,2,1.80
2,2,1.80
3,2,1.80
4,2,1.80
5,2,1.80
6,2,1.80
6,3,1.80
5,3,1.80
4,3,1.80
3,3,1.80
2,3,1.80
1,3,1.80
0,3,1.80
0,4,1.80
1,4,1.80
2,4,1.80
3,4,1.80
4,4,1.80
5,4,1.80
6,4,1.80
